9/13/2019 2:51:12 PM - *****************FollowUpService - FollowUpProc Starts**************
9/13/2019 2:51:12 PM - Please wait ..fetching policy list from database
9/13/2019 2:51:12 PM - Policy list found from database, count: 1
9/13/2019 3:29:52 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Iissfolllst.Count > 0
9/13/2019 3:29:52 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Issue closed with ID : 39a9bb39-e0b9-42fa-822f-22cfd29b8635, category: 2
9/13/2019 3:29:52 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, AutoPolicyTerminateProcess run
9/13/2019 3:29:54 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count: 0
9/13/2019 3:29:54 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Rflag: False
9/13/2019 3:29:54 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculating 
9/13/2019 3:29:54 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculated 
9/13/2019 3:29:54 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, issfolllst calculated 
9/13/2019 3:29:54 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count == 0 entered
9/13/2019 3:29:54 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Advance found as: 
9/13/2019 3:29:54 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, isIssueRaise: True
9/13/2019 3:29:54 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Iissfolllst.Count > 0
9/13/2019 3:29:54 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Issue closed with ID : f5ebbb66-1ae8-44a9-8f96-87d4a5cbb9c0, category: 2
9/13/2019 3:29:54 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, AutoPolicyTerminateProcess run
9/13/2019 3:30:01 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _PolicyPaymentEntriesFormissing.Count: 4
9/13/2019 3:30:01 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Rflag: False
9/13/2019 3:30:01 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculating 
9/13/2019 3:30:01 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst calculated 
9/13/2019 3:30:01 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, issfolllst calculated 
9/13/2019 3:30:03 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, PolicyPaymentEntries > 0 
